TV_Budget,Online_Video_Budget,Radio_Budget,Region,Sales
278.02,252.44,14.95,West,850.3
129.84,116.6,35.66,West,467.62
132.75,118.05,14.04,West,443.07
171.89,146.65,45.23,North,594.22
246.2,214.69,98.47,East,924.88
85.62,77.33,82.09,West,402.95
176.45,153.43,71.61,South,674.43
107.95,103.84,41.93,West,409.79
166.93,148.16,44.42,East,617.03
148.84,126.58,75.67,North,569.85
53.21,43.45,59.14,West,267.47
259.52,236.3,60.99,South,887.0
254.54,233.75,19.61,East,827.92
294.91,270.6,57.1,North,978.36
82.18,74.48,67.39,South,382.66
107.01,99.68,66.44,South,434.63
280.65,259.03,37.31,North,911.23
125.0,118.29,73.1,South,503.6
,213.34,82.43,North,821.74
181.45,164.36,46.15,South,628.45
217.96,194.1,72.88,West,768.27
273.84,245.36,43.03,North,912.89
277.55,242.44,62.8,South,963.7
208.06,183.72,21.29,West,662.13
55.32,49.74,47.3,North,273.07
244.26,219.67,15.7,North,767.54
249.4,224.69,59.87,North,867.91
229.71,212.37,14.25,East,756.48
229.83,209.93,14.0,West,734.54
114.73,94.9,38.6,West,426.89
183.11,153.9,39.04,South,653.51
171.84,155.71,59.4,North,626.56
147.6,116.16,12.67,West,479.88
139.56,118.97,16.39,East,480.41
150.42,123.23,63.85,North,557.17
103.83,91.47,51.06,East,419.61
132.72,113.1,14.98,West,448.52
267.96,239.01,89.38,West,958.42
63.68,64.46,52.65,North,290.7
104.13,98.57,72.92,West,453.77
91.63,81.02,35.35,South,351.49
268.66,245.28,64.4,North,913.11
148.84,136.33,34.7,West,493.9
152.34,141.37,89.66,West,609.74
231.15,207.52,66.47,West,818.83
241.6,210.53,65.73,South,853.82
81.8,67.63,84.08,North,375.78
201.7,184.34,42.37,North,691.06
142.84,123.08,77.67,East,574.62
154.19,140.45,67.75,West,569.54
138.94,126.97,67.14,West,546.2
,72.99,93.15,West,404.6
185.24,163.71,31.39,West,631.07
105.76,99.91,12.01,West,349.59
149.86,134.41,10.3,North,463.81
281.9,254.84,91.4,North,1012.46
62.61,55.62,38.15,West,258.53
128.64,109.07,88.59,South,560.46
198.89,172.12,75.25,West,744.62
256.25,234.69,12.07,West,822.37
280.16,253.23,20.62,West,883.92
238.75,223.0,98.2,West,885.64
181.43,168.32,58.92,South,663.04
215.8,192.01,30.63,East,738.35
60.77,54.85,94.46,West,333.38
263.79,227.65,14.57,West,825.0
192.49,172.71,17.96,North,636.43
74.37,59.74,19.63,North,260.24
201.1,188.33,21.51,South,665.59
73.07,72.91,82.06,North,374.84
68.43,58.84,52.83,East,318.68
299.86,267.36,22.02,West,946.33
236.62,216.48,64.37,East,850.69
65.78,55.05,14.81,East,251.51
204.53,189.17,61.62,West,734.62
154.64,138.04,43.27,East,558.13
137.24,118.42,61.81,East,548.51
281.03,253.66,37.72,North,915.45
239.38,204.64,86.22,East,883.87
153.45,139.2,17.25,North,490.62
150.96,128.44,63.0,North,577.87
62.7,53.66,12.14,North,228.54
154.07,145.62,16.28,South,510.69
151.39,144.24,80.91,North,595.11
102.35,95.17,34.22,West,391.24
283.02,256.14,22.84,North,892.16
121.61,113.51,80.39,South,517.85
94.48,81.19,36.95,East,366.23
102.36,88.27,76.62,North,443.59
85.41,81.41,37.7,North,331.21
201.08,180.3,64.13,West,708.58
89.07,74.91,32.24,East,330.41
243.53,216.38,96.65,West,882.48
275.07,253.98,34.24,West,889.84
65.27,62.38,53.4,West,300.31
256.47,228.8,58.05,West,873.54
252.86,227.27,17.23,West,787.35
122.09,113.17,10.65,North,406.18
136.79,126.95,93.49,South,572.24
154.07,137.65,72.03,West,586.66
109.12,99.93,72.23,North,447.78
,251.24,96.87,East,1016.38
265.53,241.23,64.49,North,916.44
,212.55,80.54,East,870.32
268.91,240.61,82.87,East,966.56
215.89,195.49,56.67,North,758.91
212.54,195.35,12.65,South,703.92
150.11,128.8,23.83,South,512.31
129.12,118.34,35.72,North,457.59
277.71,251.33,49.41,East,935.88
92.68,80.05,67.8,East,415.28
53.58,49.25,32.89,South,230.21
236.75,220.72,96.3,West,876.18
286.84,263.2,31.14,East,941.31
73.36,64.78,82.76,North,365.2
282.16,252.02,29.22,South,918.44
200.35,179.38,36.71,South,681.49
68.71,65.77,52.13,East,316.04
249.08,230.65,77.8,North,892.25
189.61,177.61,58.62,South,692.59
284.44,253.66,16.62,North,895.01
,169.75,54.22,South,680.33
209.99,190.61,34.35,West,714.41
56.23,46.33,90.65,East,349.67
199.32,177.23,28.17,North,653.14
227.09,209.22,36.43,West,754.92
83.13,79.53,51.36,East,353.92
295.89,273.4,33.28,West,956.19
62.03,58.43,32.79,South,282.07
152.82,143.29,67.73,South,571.36
217.75,199.35,45.12,South,744.82
205.38,179.02,14.93,North,670.39
72.41,70.71,72.93,East,377.2
55.91,51.5,28.08,South,221.84
229.7,195.64,77.07,East,847.86
108.01,91.0,96.83,South,500.97
183.25,167.37,59.08,West,652.46
125.38,114.83,16.1,North,415.32
83.69,74.89,78.99,West,384.04
275.56,256.66,34.17,South,920.2
194.29,175.46,69.82,South,724.56
51.54,55.12,15.47,West,191.64
173.23,163.07,84.79,East,679.65
52.31,49.5,45.77,East,271.33
288.37,260.21,85.92,North,1000.66
154.48,134.03,12.38,West,491.79
137.76,118.18,91.46,South,576.78
,122.67,44.83,West,494.4
125.46,115.26,44.7,East,492.96
215.09,197.94,80.53,North,785.55
246.37,215.44,82.64,South,885.28
297.67,261.96,21.11,West,937.36
286.55,258.67,83.26,East,1034.08
240.28,221.81,51.17,West,826.2
247.64,234.28,74.49,East,889.94
295.13,259.98,27.29,East,949.18
106.97,96.66,89.45,East,494.1
201.37,178.59,29.21,North,691.65
171.48,149.74,66.39,South,649.18
53.25,40.4,17.92,South,202.61
239.31,218.4,41.38,West,803.22
79.64,73.45,69.39,West,356.38
279.94,255.03,19.37,East,884.95
290.26,268.29,55.56,South,969.31
194.28,177.95,80.24,West,724.7
273.51,243.93,51.97,South,947.7
,136.14,50.07,North,490.55
283.92,262.99,93.4,West,985.47
91.96,79.83,58.1,South,405.94
171.03,154.93,33.05,North,575.0
271.7,242.47,43.38,West,901.08
209.64,193.02,89.59,East,792.91
179.44,163.37,62.85,North,655.88
73.22,70.91,15.04,North,251.59
66.93,63.37,67.7,East,333.13
103.54,90.23,30.91,West,380.5
243.97,225.4,86.44,East,890.24
151.65,130.85,96.02,East,625.6
126.86,103.7,14.28,East,432.07
291.05,264.32,99.84,East,1060.56
215.67,193.25,15.51,West,686.25
145.55,133.53,86.7,West,573.68
166.82,153.51,73.2,East,647.15
246.55,228.18,49.75,West,833.29
164.97,147.02,39.59,North,576.85
120.88,105.22,29.36,North,433.71
120.44,104.86,34.41,East,446.3
147.29,134.95,90.38,West,595.49
110.16,99.34,14.11,North,379.35
272.78,238.91,32.33,North,881.76
64.68,61.69,42.0,West,258.98
214.41,194.6,74.47,West,768.78
52.56,49.73,29.83,South,224.92
132.77,117.63,70.38,South,518.95
131.27,120.73,63.45,West,502.5
187.12,172.0,90.5,North,719.66
116.63,104.23,62.9,South,467.03
212.46,193.32,76.45,East,789.15
125.17,116.54,73.79,South,508.41
194.23,178.9,16.41,East,651.12
53.93,47.58,57.3,North,274.37
91.87,78.84,77.02,West,421.5
160.24,149.45,26.08,West,534.15
296.71,252.74,98.02,East,1062.06
218.63,189.6,48.55,East,765.22
253.09,227.4,98.22,East,926.14
262.64,236.24,46.34,East,888.17
120.0,104.13,75.43,South,510.53
172.87,164.63,40.41,North,608.77
210.48,187.99,22.6,East,687.31
69.44,64.85,26.21,North,266.91
126.27,117.15,86.55,North,534.02
142.63,122.16,61.9,North,546.83
211.06,201.38,20.07,West,683.86
107.72,100.58,4097.8,East,485.93
239.28,209.67,20.41,North,775.54
243.68,214.01,74.9,East,875.02
103.95,85.67,98.45,South,497.88
101.39,83.91,95.98,East,477.18
250.66,229.87,88.6,North,916.18
138.31,131.51,23.28,South,495.5
